trade_id,timestamp_open,timestamp_close,symbol,timeframe,direction,entry,stop_loss,take_profit,exit_price,pnl,r_multiple,outcome,market_regime,context_bias,context_score,entry_score,extension_atr,spread,volatility,sweep_type,distance_to_h1_high,distance_to_h1_low,distance_to_h1_mid
XAUUSD-2026-01-21T23:40:00+00:00,2026-01-21T23:40:00+00:00,2026-01-22T01:00:00+00:00,XAUUSD,M5,SHORT,4831.46,4839.854,4826.672,4826.672,4.788000000000466,0.5704074338813835,win,trend,short,72,88,,,,high_sweep,0.43489041753319546,0.5651095824668045,0.0651095824668009
XAUUSD-2026-04-21T10:55:00+00:00,2026-04-21T10:55:00+00:00,2026-04-21T11:05:00+00:00,XAUUSD,M5,SHORT,4784.73,4793.075,4780.039999999999,4780.039999999999,4.690000000000509,0.5620131815458798,win,trend,short,79,87,,,,high_sweep,0.9280967796898912,0.07190322031010876,0.428096779689899
XAUUSD-2026-02-12T21:55:00+00:00,2026-02-12T21:55:00+00:00,2026-02-12T21:55:00+00:00,XAUUSD,M5,SHORT,4950.36,4958.665,4945.749999999999,4945.749999999999,4.610000000000582,0.5550872968092018,win,trend,short,76,89,,,,high_sweep,0.7222953537126414,0.27770464628735864,0.22229535371263917
XAUUSD-2026-06-02T12:35:00+00:00,2026-06-02T12:35:00+00:00,2026-06-02T14:00:00+00:00,XAUUSD,M5,LONG,4529.64,4521.412,4534.0960000000005,4534.0960000000005,4.456000000000131,0.5415653864851842,win,trend,long,77,89,,,,low_sweep,0.1882322975038164,0.8117677024961836,0.31176770249618363
XAUUSD-2026-03-09T03:25:00+00:00,2026-03-09T03:25:00+00:00,2026-03-09T03:25:00+00:00,XAUUSD,M5,SHORT,5080.63,5088.842,5076.236000000002,5076.236000000002,4.393999999998414,0.5350706283485951,win,trend,short,78,87,,,,high_sweep,0.8542979069294845,0.1457020930705155,0.35429790692948143
XAUUSD-2025-12-10T16:15:00+00:00,2025-12-10T16:15:00+00:00,2025-12-10T16:20:00+00:00,XAUUSD,M5,SHORT,4205.24,4207.262000000001,4201.195999999998,4201.195999999998,4.044000000001688,2.0,win,trend,short,73,89,,,,high_sweep,0.5170842824601297,0.48291571753987034,0.017084282460129673
XAUUSD-2026-03-16T13:30:00+00:00,2026-03-16T13:30:00+00:00,2026-03-16T13:45:00+00:00,XAUUSD,M5,SHORT,5015.21,5023.137,5011.356000000001,5011.356000000001,3.8539999999993597,0.4861864513686786,win,trend,short,73,89,,,,high_sweep,0.5655464729034128,0.43445352709658724,0.06554647290340587
XAUUSD-2026-07-03T16:50:00+00:00,2026-07-03T16:50:00+00:00,2026-07-03T16:55:00+00:00,XAUUSD,M5,LONG,4165.01,4163.108,4168.814,4168.814,3.8040000000000873,2.0,win,trend,long,74,89,,,,low_sweep,0.36981566820275674,0.6301843317972432,0.13018433179724323
XAUUSD-2026-07-07T17:15:00+00:00,2026-07-07T17:15:00+00:00,2026-07-07T17:15:00+00:00,XAUUSD,M5,LONG,4152.37,4150.481,4156.148,4156.148,3.7780000000002474,2.0,win,trend,long,75,88,,,,low_sweep,0.34538907155159604,0.654610928448404,0.15461092844839686
XAUUSD-2026-04-01T05:45:00+00:00,2026-04-01T05:45:00+00:00,2026-04-01T05:55:00+00:00,XAUUSD,M5,LONG,4685.71,4677.838,4689.454000000001,4689.454000000001,3.7440000000005966,0.47560975609761874,win,trend,long,76,85,,,,low_sweep,0.24342308882698221,0.7565769111730178,0.2565769111730178
XAUUSD-2026-06-11T12:35:00+00:00,2026-06-11T12:35:00+00:00,2026-06-11T12:35:00+00:00,XAUUSD,M5,LONG,4084.77,4076.812,4088.4759999999997,4088.4759999999997,3.705999999999676,0.46569489821558646,win,trend,long,75,89,,,,low_sweep,0.3551124310564302,0.6448875689435698,0.1448875689435698
XAUUSD-2026-06-30T11:20:00+00:00,2026-06-30T11:20:00+00:00,2026-06-30T11:20:00+00:00,XAUUSD,M5,LONG,4021.92,4020.0759999999996,4025.608000000001,4025.608000000001,3.6880000000010114,2.0,win,trend,long,80,89,,,,low_sweep,0.02785002167317033,0.9721499783268297,0.47214997832683214
XAUUSD-2026-02-09T15:15:00+00:00,2026-02-09T15:15:00+00:00,2026-02-09T15:15:00+00:00,XAUUSD,M5,SHORT,5018.18,5025.89,5014.76,5014.76,3.4200000000000728,0.44357976653697234,win,trend,short,73,88,,,,high_sweep,0.5100141933449017,0.4899858066550983,0.010014193344901747
XAUUSD-2026-04-30T15:35:00+00:00,2026-04-30T15:35:00+00:00,2026-04-30T15:50:00+00:00,XAUUSD,M5,LONG,4631.68,4623.962,4635.085999999999,4635.085999999999,3.4059999999990396,0.44130603783351996,win,trend,long,78,89,,,,low_sweep,0.15826727066818075,0.8417327293318193,0.3417327293318236
XAUUSD-2026-04-24T16:35:00+00:00,2026-04-24T16:35:00+00:00,2026-04-24T16:35:00+00:00,XAUUSD,M5,LONG,4696.24,4688.688,4699.343999999999,4699.343999999999,3.1039999999993597,0.411016949152475,win,trend,long,76,88,,,,low_sweep,0.2774789915966423,0.7225210084033576,0.22252100840335767
XAUUSD-2026-06-04T09:20:00+00:00,2026-06-04T09:20:00+00:00,2026-06-04T09:35:00+00:00,XAUUSD,M5,LONG,4473.49,4465.992,4476.485999999999,4476.485999999999,2.995999999999185,0.39957321952511976,win,trend,long,76,83,,,,low_sweep,0.24658219406468943,0.7534178059353106,0.2534178059353106
XAUUSD-2025-12-10T18:55:00+00:00,2025-12-10T18:55:00+00:00,2025-12-10T19:05:00+00:00,XAUUSD,M5,SHORT,4203.93,4205.406,4200.948,4200.948,2.981999999999971,2.0203252032524808,win,trend,short,76,89,,,,high_sweep,0.7594080338266225,0.2405919661733775,0.25940803382664174
XAUUSD-2026-06-11T14:25:00+00:00,2026-06-11T14:25:00+00:00,2026-06-11T14:30:00+00:00,XAUUSD,M5,LONG,4090.22,4082.785,4093.0899999999997,4093.0899999999997,2.869999999999891,0.38601210490920135,win,trend,long,74,87,,,,low_sweep,0.4299236641221391,0.5700763358778609,0.07007633587785739
XAUUSD-2026-05-08T07:45:00+00:00,2026-05-08T07:45:00+00:00,2026-05-08T08:25:00+00:00,XAUUSD,M5,LONG,4716.04,4708.620000000001,4718.879999999998,4718.879999999998,2.8399999999983265,0.38274932614537016,win,trend,long,76,89,,,,low_sweep,0.24187924389795254,0.7581207561020474,0.25812075610204743
XAUUSD-2026-03-16T14:35:00+00:00,2026-03-16T14:35:00+00:00,2026-03-16T14:50:00+00:00,XAUUSD,M5,SHORT,5018.39,5025.773999999999,5015.562000000001,5015.562000000001,2.82799999999952,0.38299024918741364,win,trend,short,74,88,,,,high_sweep,0.5929458068422622,0.4070541931577379,0.09294580684225523
XAUUSD-2026-04-09T15:30:00+00:00,2026-04-09T15:30:00+00:00,2026-04-09T15:35:00+00:00,XAUUSD,M5,LONG,4741.61,4734.102,4744.416,4744.416,2.8060000000004948,0.3737346830048702,win,trend,long,80,89,,,,low_sweep,0.01757631822386366,0.9824236817761364,0.4824236817761363
XAUUSD-2026-06-30T11:25:00+00:00,2026-06-30T11:25:00+00:00,2026-06-30T11:25:00+00:00,XAUUSD,M5,LONG,4021.02,4019.707,4023.646,4023.646,2.6260000000002037,2.0,win,trend,long,80,88,,,,low_sweep,0.02785002167317033,0.9721499783268297,0.47214997832683214
XAUUSD-2026-05-29T15:50:00+00:00,2026-05-29T15:50:00+00:00,2026-05-29T15:55:00+00:00,XAUUSD,M5,LONG,4519.58,4512.223,4522.114000000001,4522.114000000001,2.5340000000014697,0.34443387250257984,win,trend,long,78,85,,,,low_sweep,0.10294420424130184,0.8970557957586982,0.39705579575869815
XAUUSD-2026-02-04T15:55:00+00:00,2026-02-04T15:55:00+00:00,2026-02-04T15:55:00+00:00,XAUUSD,M5,SHORT,5057.54,5064.752,5055.146,5055.146,2.394000000000233,0.3319467554076658,win,trend,short,75,87,,,,high_sweep,0.6511182108626175,0.3488817891373825,0.15111821086261748
XAUUSD-2026-01-27T20:55:00+00:00,2026-01-27T20:55:00+00:00,2026-01-27T21:00:00+00:00,XAUUSD,M5,SHORT,5088.38,5095.564,5086.012,5086.012,2.368000000000393,0.3296213808463708,win,trend,short,71,89,,,,high_sweep,0.3860580325548397,0.6139419674451603,0.11394196744516029
XAUUSD-2026-05-07T16:15:00+00:00,2026-05-07T16:15:00+00:00,2026-05-07T16:15:00+00:00,XAUUSD,M5,LONG,4737.36,4730.22,4739.6399999999985,4739.6399999999985,2.279999999998836,0.31932773109229995,win,trend,long,79,89,,,,low_sweep,0.05713817943680068,0.9428618205631993,0.44286182056319934
XAUUSD-2026-05-14T14:30:00+00:00,2026-05-14T14:30:00+00:00,2026-05-14T14:45:00+00:00,XAUUSD,M5,LONG,4695.99,4688.856,4698.258,4698.258,2.268000000000029,0.3179142136248983,win,trend,long,74,89,,,,low_sweep,0.43171893608574735,0.5682810639142526,0.06828106391426166
XAUUSD-2026-04-16T16:40:00+00:00,2026-04-16T16:40:00+00:00,2026-04-16T16:40:00+00:00,XAUUSD,M5,SHORT,4817.59,4824.664,4815.382,4815.382,2.2080000000005384,0.3121289228160388,win,trend,short,75,87,,,,high_sweep,0.6627697841726585,0.3372302158273414,0.16276978417267218
XAUUSD-2026-03-20T07:10:00+00:00,2026-03-20T07:10:00+00:00,2026-03-20T07:15:00+00:00,XAUUSD,M5,LONG,4717.2,4710.109,4719.351999999998,4719.351999999998,2.1519999999982247,0.30348328867555985,win,trend,long,78,84,,,,low_sweep,0.10233792312105841,0.8976620768789416,0.3976620768789416
XAUUSD-2026-05-29T21:50:00+00:00,2026-05-29T21:50:00+00:00,2026-05-29T22:10:00+00:00,XAUUSD,M5,LONG,4557.16,4550.165,4559.15,4559.15,1.9899999999997817,0.2844889206575858,win,trend,long,73,87,,,,low_sweep,0.48944405348346665,0.5105559465165334,0.010555946516533356
